Category,description
neutral,ahlstrom headquartered in helsinki finland is a global leader in the development manufacture and marketing of high performance fibre-based material .
neutral,ahlstrom corporation anne pirila director financial communication distribution : helsinki stock exchange main medium ahlstrom in brief ahlstrom is a leader in the development manufacture and marketing of high performance fiber-based material .
neutral,ahlstrom corporation seppo parvi cfo distribution : main medium www.ahlstrom.com ahlstrom in brief ahlstrom is a global leader in the development manufacture and marketing of high performance nonwovens and specialty paper .
neutral,"ahlstrom corporation stock exchange announcement 7.2.2007 at 10.30 a total of 56,955 new share of ahlstrom corporation have been subscribed with option right under the company stock option program i 2001 and ii 2001 ."
neutral,aldata solution a global company engaged in supplier to consumer business process optimization ha announced the detail of it dollar for dinosaur program .
neutral,aldata solution oyj thomas hoyer cfo more information : aldata solution oyj thomas hoyer cfo tel . +358 45 670 0491 aldata in brief aldata solution is one of the global leader in supply chain software for retail wholesale and logistics company .
neutral,alexandria va. march 20 patrik flykt and timo alakoski both of helsinki finland and tapio suihko and nadarajah asokan both of espoo finland have developed a method of mobility support of internet-type protocol traffic in a communication system .
neutral,alexandria va. nov. 5 risto kontturi of rajamaki finland and jari ylinen of hyvinkaa finland have developed an automated transportation system with a user-controlled transport selection .
neutral,all depends on financing .
neutral,also cba is to issue a benchmark 10 year fixed rate deal in euro .
neutral,among other industrial stock metso added 0.53 pct to 40.04 eur wartsila b wa down 0.77 pct at 47.87 eur and rautaruukki k wa 1.08 pct lower at 37.56 eur .
neutral,among paper issue stora enso r wa little changed up 0.08 pct at 12.03 eur upm-kymmene wa 0.48 pct higher at 18.77 eur and m-real b added 0.50 pct to 3.99 eur .
neutral,an android app will be coming soon .
neutral,analyst surveyed by thomson financial expected revenue of $ 69 million for the quarter .
neutral,around 250 of these reduction will be implemented through pension arrangement .
neutral,around 50 percent of the world ro-ro fleet is over 25 year old and need to be scrapped for environmental reason .
neutral,a a result the number of personnel in finland will be reduced by 158 .
negative,a a result some 20 person will no longer be needed .
neutral,a part of the transaction the +_+ænekoski paper mill remained in m-real ownership and continued galerie art production for sappi under a long-term contract .
neutral,based in helsinki finland ramirent ha branch in 13 nordic central and eastern european country .
neutral,"based on the 2005 calendar year the combined company had eur15 .8 bn in pro forma annual revenue and is expected to start operation with 60,000 employee ."
neutral,bavaria industriekapital ag 2006 revenue were eur 333 million with an ebitda of eur 51 million .
negative,biohit said that it will reduce the number of leased personnel by 10 and lay off 10 of it own personnel .
neutral,bm4 middle layer headbox will be equipped with a dilution control system .
neutral,cameco typically price sale contract using a 40:60 ratio of fixed price and spot price .
neutral,capman the stockholm-headquartered private equity firm ha held a first close on it second private equity real estate fund a it continues it push into the property sector .
neutral,"cargotec sale totalled eur 3.4 billion in 2008 and it employ approximately 11,000 people ."
neutral,cargotec will also move hallberg-ivarsson service and installation business under the same roof with it service center for kalmar and macgregor solution in gothenburg .
neutral,citigroup inc nyse : c deutsche bank nyse : db and pohjola bank are lead manager for the sale .
neutral,coffee will be served starting at 14:30 eet a well a after the event .
neutral,combined net sale in 2006 were $ 27 million and ebitda wa $ 13.7 million .
neutral,combined with the basware enterprise purchase to pay portfolio it provides a high level of automation for procurement and invoice workflow .
neutral,commenting on the deal shane lennon svp of marketing & product development at gypsii said : ?
positive,comparable net sale are expected to increase more than 10 in 2008 in line with group target .
neutral,"componenta ha production line for similar-sized product at karkkila in finland at weert in the netherlands and at orhangazi in turkey and these had a combined output of approximately 100,000 tonne and net sale of eur 135 million in 2007 ."
neutral,componenta will also offer a five-year subordinated loan for subscription by the public .
neutral,curator have divided their material into eight theme .
neutral,currently 95 of trainer house revenue are attributed to the finnish market .
neutral,currently the company us eight similar reach stacker and four empty container handler by konecranes .
neutral,currently alfred a palmberg is putting the finishing touch to one of finland biggest ever re-plumbing and bathroom refurbishment project also in the district of vuosaari .
neutral,"currently glaston employ approximately 1,500 person ."
neutral,customer include hotel and restaurant a well a wholesaler and some retailer .
neutral,delivery is expected to take place later this month .
neutral,deutsche beteiligungs a well a a private equity fund it manages first bought 75 of mce in a secondary buyout from white plain n.y. financial investor andlinger & co. in 2007 .
neutral,earnings per share eps in 2005 amounted to a loss of eur1 .26 .
neutral,earnings per share eps in the first quarter amounted to a loss of eur0 .20 .
neutral,economic development in china is no longer taking place only on the east coast and in the shanghai area vauramo say .
neutral,eero katajavuori currently group vice president human resource will take a year-long sabbatical starting from october 1 2010 .
neutral,elcoteq expects it net sale for the last quarter of 2010 to be on the level of the third quarter .
neutral,elcoteq global service offering cover the entire lifecycle of product from product development to after-market service .
neutral,"enp newswire - 22 march 2011 release date - 21032011 - a total of 13,000 talvivaara mining company plc new share were subscribed for during the period between 1 january 2011 and 28 february 2011 under the company stock option right 2007a ."
neutral,eq bank forecast olvi net sale at eur 67mn in the second quarter of 2009 and operating profit at eur 6.4 mn .
neutral,established in 1989 capman manages nordic buyout mezzanine technology life science and real estate fund with approximately euro 3 billion $ 4 billion in total capital .
neutral,eur 152.4 mn of this wa net interest income .
neutral,exel board of director will propose a dividend of 0.2 euro $ 0.3 per share for 2006 at the annual general meeting on april 19 2007 .
neutral,financing of the project will come mainly from china .
neutral,finnish component supplier componenta corporation omx helsinki : cth1v said on monday 16 june that it is changing it pricing cycle due to the increase of raw material price .
neutral,finnish construction company yit hel : yty1v said it had agreed to take over german facility engineering and facility system firm caverion for eur73m usd90 .3 m .
neutral,finnish silicon wafer technology company okmetic oyj omx helsinki : okm1v said on wednesday 17 september that it will invest eur6m in it sensor wafer business during 2009 .
negative,finnish sport equipment company amer sport said it ha decided to lay off 370 worker from it salomon division in france .
neutral,fiskars is also engaged in the global supply of marine and energy equipment solution and service through it associated company wartsila corporation .
neutral,fiskars r founded in 1649 is one of the oldest company in the world and is the largest manufacturer of lightweight stainless steel scissors in the u.s. .
neutral,fl group private equity division manages all operating company including icelandair group fl travel group bluebird and sterling .
neutral,following the demerger the vice president of the group pharmaceutical trade in finland jukka niemi will be appointed managing director of oriola in addition to his current responsibility .
neutral,following the issue the number of share in the swedish company will grow by 9 .
neutral,following the transaction tulikivi restructured it operation into the soapstone fireplace business natural stone product business and ceramic product business unit .
neutral,for 2009 net profit wa eur3m and the company paid a dividend of eur1 .30 apiece .
neutral,fortum is now considering taking part in nuclear energy project outside of finland .
neutral,from 2003 on the emphasis of kyro strategy ha been on glaston growth .
neutral,glaston headquartered in tampere finland is a growing and international glass technology company .
neutral,guangdong october 26 sinocast nokia telecommunication dongguan branch entered into a letter of intent to open a nokia class in qingyuan polytechnic qingyuan city of guangdong province .
neutral,he join technopolis from kone where he ha held various position within the group most recently a director of service business and business development for kone s middle eastern operation .
neutral,hk ruokatalo target is to know the consumer .
neutral,however the production is almost entirely very labor intensive and based on small investment only .
neutral,in 2007 etteplan had turnover of eur125 .2 m .
neutral,"in 2007 the group net sale stood at eur 42 million and it had about 1,445 employee ."
neutral,in 2008 avc systemhaus had net sale of eur 10 million usd 7.1 m .
neutral,in 2008 stockmann earned 3.398 million lat in profit on 48.012 million lat in turnover .
neutral,in 2010 sanoma magazine expects net sale to be at the 2009 level .
neutral,in addition the company is considering the start of production in russia .
negative,in addition the company will reduce a maximum of ten job .
neutral,in addition the kazakh delegation will visit finland sitra investment fund honkarakenne ltd and nokia headquarters to study teliasonera ltd jsc activity .
neutral,in addition to it stake in megafon telecominvest currently owns 100 of share in web plus and st. petersburg payphones 51 in telecom equipment producer peter-servis and a number of other minor asset .
positive,in addition to russia we now seek additional growth in ukraine .
neutral,in addition to software development the new design unit will provide for mechanical engineering and electronics design .
neutral,in april-june 2008 scanfil net sale totalled eur 58.7 mn and operating profit eur 6.6 mn .
neutral,in finland alma medium will focus on quality and developing chain operation .
neutral,in finland the five largest brand control 90 of the beer market .
negative,in finland finnish pharmaceutical company orion corporation omx helsinki : ornav said on wednesday 7 january that it ha concluded it personnel negotiation in finland and will reduce the number of personnel by 205 .
neutral,in july it and quadriga capital sold their lewa gmbh pump-making business to japan nikkiso co. .
neutral,in november the finnish government decreased it ownership in the company further to 31.1 percent from 38 percent .
neutral,in sweden the agreement cover data communication service a well .
neutral,in the automobile space maruti is the most searched brand in car .
neutral,in the beginning of the negotiation the estimated number of reduction wa 50 at the maximum .
neutral,in the czech republic the profiling unit at ostrava will be closed and the machinery will be relocated to ruukki bigger plant in hungary poland and romania by the end of the first quarter of 2009 .
neutral,in the first quarter of 2008 sacanfil net sale totalled eur 50.0 mn and it operating profit eur 4.7 mn .
neutral,incap contract manufacturing service pvt ltd a subsidiary of incap corporation of finland is acquiring the manufacturing unit of the tv electronic ltd at tumkur near bangalore for rs40 crore .
neutral,inha work ha invested in it product development and market research .
neutral,"it come complete with an lcd touch screen system for selection of your chosen function and price start at around the pound 4,805 mark ."
neutral,it grew in finland norway denmark and the baltic country .
neutral,it includes option for additional 30 communal building site a well a construction supervision work for all construction site .
neutral,it is being developed by symbian the software licensing consortium led by nokia .
neutral,it is estimated that the consolidated turnover of kausta guder will reach lt 53mn u $ 22.53 mn eur 15.35 mn in 2007 .
neutral,"it now owns 80,565 share in amer sport corporation equaling 0.11 of the company share capital and voting right ."
neutral,karachi sept. 14 ixonos a world leader in the development and integration of solution for handheld device announced that it is implementing a touch screen mobile user interface solution for the intel atom processor z6xx based smartphones .
negative,"konecranes ha previously communicated an estimated reduction of about 1,600 employee on group level in 2009 ."
neutral,l & t also acquired a 50 pct stake in local sector company salvor oy at the beginning of september 2007 .
neutral,laavainen said benecol wa well known in europe and the u where it had been in the market for 15 year .
positive,latvenergo ha ordered a significant expansion to the tekla xpower network information system .
neutral,lcs service cover the whole life cycle of software and information system from process modelling and tailored software development to hosting service solution management maintenance and support .
neutral,lieksaare oy ha earlier been regarded under the control of saarelainen oy and the individual shareholder under the shareholder agreement .
neutral,liquid handling product include electronic and mechanical pipette disposable tip a well a pipette maintenance and calibration service for research institution healthcare and industrial laboratory .
neutral,adp news - jan 13 2009 - finnish industrial and environmental measurement equipment maker vaisala oyj omx : vaias said yesterday it will develop an operational reference radiosonde for climate change observation .
neutral,adpnews - dec 23 2009 - norwegian financial service group sparebank 1 gruppen a osl : sbgrp said it board of director appointed today jarle haug managing director of it claim collection subsidiary sparebank 1 gruppen finans
neutral,m+ækel+æ is demanding a new board for the company a well a discussion on the merger of alma medium and medium company talentum .
neutral,margin call of zanadvorov ha given the chance to make such purchase under the credit of deutsche bank for usd 560 million .
neutral,marimekko is considering further measure in the matter .
neutral,marketing will use tikkurila existing infra structure and local knowledge in russia .
neutral,metsaliitto will sell 1.1 million b share of neomarkka accounting for about 18.3 pct of neomarkka equity and about 12.7 pct of the voting right .
neutral,moreover konecranes and kito intend to transfer the hoist distribution business of konecranes japanese joint venture mhs konecranes to kito .
neutral,most of the growth in beer consumption took place in the far east latin america and africa .
neutral,most of the new substation support edge technology which enables faster data traffic .
neutral,most of the raw material come from europe and the u and are paid in euro or u dollar while sale take place in ruble .
neutral,most recently he founded virent energy system inc. an 80 person catalytic biofuels company where a president and ceo he led the company through multiple financing defined the company market strategy and secured the company first customer .
neutral,motorola inc. of the united state came second with shipment of 217.4 million unit for a 21.3 percent market share followed by south korea samsung electronics co. with shipment of 118.0 million unit for an 11.6 percent share .
neutral,mr jortikka is president of the base metal division of outotec oyj in finland and is on the executive committee of outotec .
neutral,mr k.r . vasantha ha been appointed managing director of incap contract manufacturing service pvt . ltd. .
neutral,mr. koistinen join from nokia siemens network where he ha held various senior sale management and business development position since 1997 .
neutral,mr. mcdonald started the evening with his own set featuring hit from his solo career and his doobie brother year and a selection of r & b cover song that met with mixed result .
neutral,m-real plan to discontinue production of standard coated fine paper in the hallein and gohrsm++hle mill .
neutral,neste oil will offer outplacement service to the 111 employee to be reduced .
neutral,news corp. myspace.com web site will display submission for the expanded broadband emmy award a part of an effort to identify aspiring video artist .
neutral,no change regarding the virala oy ab s ownership of share of tiimari ha taken place .
neutral,no financial detail of the deployment were disclosed .
neutral,no financial or pricing detail were disclosed .
neutral,no planned closing date wa provided .
neutral,no service pricing detail were disclosed .
neutral,nordea will coordinate the syndicated loan .
neutral,nordstjernan ha used it option to buy another 22.4 stake of salcomp share and vote .
neutral,okmetic closed it plant in espoo in early 2004 and all production line from the site were moved to okmetic plant in vantaa finland and texas usa .
neutral,okmetic ha a global customer base and sale network production plant in finland and the u and contract manufacturer in japan and china .
neutral,one of the largest project of the magazine division of sanomawsoy - sanoma magazine international in 2006 became launch of the russian magazine gloriya .
neutral,operating profit of operation in finland in the period under review totaled eur 11.3 mn remaining at the 2005 level .
neutral,op-pohjola group capital adequacy ratio under the act on credit institution stood at 12.1 and tier 1 ratio at 12.1 .
neutral,our customer include company in the energy and process industry sector in particular .
neutral,ovum press ha a 60 stake in the joint venture while imsm hold a 40 stake .
neutral,panostaja plc today acquired the entire share capital of suomen graafiset palvelut ltd a provider of printing service .
negative,paper stock were among the biggest faller with stora enso down 2.30 pct to 14.01 eur m-real down 2.86 pct to 5.09 eur and upm-kymmene 1.14 pct lower at 19.10 eur .
neutral,payment for acquired share will be made in cash and the price per share will be eur 1 plus an administration fee .
neutral,"pct lower at 4,442.10 ."
neutral,pharmaceutical market in czech republic global research & data service published recently a market analysis about the pharmaceutical market in czech republic .
neutral,pharmaceutical market in italy global research & data service published recently a market analysis about the pharmaceutical market in italy .
neutral,pharmaceutical market in netherlands global research & data service published recently a market analysis about the pharmaceutical market in netherlands .
neutral,previously it projected the figure to be slightly lower than in 2009 .
neutral,previously the company expected it 2008 financial performance to remain at the same level a in 2008 .
neutral,qpr processguide is available a a system solution with centralized storage and management of process content a well a a standalone desktop version ; qpr processguide xpress .
neutral,"quartal oy now owns 2,094,063 share in satama interactive plc which represents 5,19 per cent of the share capital and voting right ."
neutral,rimi supermarket is the key customer in magistral center .
neutral,rimvesta is now controlled by the estonian-owned real estate development company ell nekilnojamas turtas which a member of merko the largest construction group in the baltic country .
neutral,risto raty tekla executive vice president said that tekla structure and archicad will cover the entire design and documentation workflow throughout a construction project .
neutral,rohwedder group is an automotive supply telecommunication and electronics industry provider for customer in europe north america and asia .
neutral,rosa is one of the best-known duckburg illustrator .
neutral,russia video international group hold a controlling stake in russian medium venture .
neutral,outokumpu technology business will begin trading on the nordic exchange in helsinki starting oct. 10 becoming the sixth company to list on that exchange this year the company said friday .
positive,salo finland 29 august 2006 - benefon ha today announced it plan to further strengthen it in-house technology platform by licensing the complete mobile software platform opna from it long-standing technology partner pollex .
neutral,sampo group that ha become a major shareholder in nordea owns trygvesta main competitor if p & c insurance .
neutral,scanfil holding include 100 of contract electronics manufacturer scanfil em group .
neutral,"since the registration of the share subscribed in a directed share issue the new number of panostaja share and voting right is 41,733,110 ."
neutral,"stora enso business in north america ha annual capacity of about 3 million ton and employ about 4,350 people ."
neutral,stora enso will receive a 19.9 pct equity interest in the combined company .
neutral,talentum acquired a 47.5 pct stake in varesvuo partner in 1997 and the remaining in 2002 and 2005 .
neutral,technopolis ha set aside a plot of land measuring 4.6 hectare to build the park mikkonen said .
neutral,tekla group net sale for 2006 were approximately 50 million euro and operating result 13.6 million euro .
neutral,teleste expects to start the delivery at the end of 2009 .
neutral,thanks to it extensive industry and operation experience cybercom offer strategic and technological expertise to these market : telecom industry medium public sector retail and banking and financial service .
neutral,the 3c expo is a signature show in dongguan which is supported by the dongguan municipal government every year featuring computer accessory software communication and network product .
neutral,the acquired business main asset is a mobile authentication and signing solution branded a tectia mobileid which provides authentication to web e-mail ssl-vpn m sharepoint tectia secure solution and other application and resource .
neutral,the acquisition is part of ramirent central and eastern european growth strategy .
positive,the acquisition is part of ramirent strategy to strengthen it position in selected location .
neutral,the agreement includes the entire process of managing mercator supply chain in all region where the company is currently present .
neutral,the annual value of the contract is estimated at usd 2mn over the next three year .
neutral,the bank leasing arm nordea liising ended the year with a profit of 4.4 million euro .
neutral,the bond with a maturity of five year is part of the bank domestic bond program .
neutral,the bridge is part of the highway 14 development project .
neutral,the business area net sale were slightly over 2m in 2006 .
neutral,the business development initiative in north america are headed by lynn shanahan .
neutral,the business is organised a of february 1 2011 in a way that production of design service is combined into one entity etteplan operation .
neutral,the center will be built in the kapuli district of mantsala beside the hanko-mantsala-porvoo road near the new direct rail link between lahti and jarvenpaa .
neutral,the combined capital of these fund is expected to be eur 100mn-150mn .
neutral,the combined company had pro-forma net sale of 140 mln euro $ 188.9 mln and an operating profit of 13 mln euro $ 17.5 mln for 2006 .
neutral,the commission found evidence of several meeting to discus the cartel including one in a brussels restaurant in november 1997 at which the company discussed price increase .
neutral,"the committee proposes the following remuneration : a monthly remuneration of eur 5,000 for the chairman eur 3,500 for the deputy chairman and eur 2,500 for the other board member ."
neutral,the company will divest to upm fray bentos pulp mill and forestal oriental a company specialising in eucalyptus cultivation .
neutral,the company also said that the deployment of the danish 4g network continues and it expects to cover 75 of the danish population in 2011 .
neutral,the company expects it net sale for the whole 2009 to be at previous year level .
neutral,"the company expects it net sale for the whole of 2007 to be eur 950mn-1 ,000 mn ."
neutral,the company had net sale of eur 10.8 million in 2008 and today ha approximately 120 employee in finland estonia and poland .
neutral,the company ha 120 employee and annual sale of approximately eur16m .
neutral,the company is involved in the the sale of financial product including insurance mortgage car and personal loan financial brokerage and equipment finance leasing .
neutral,the company operates through four principal division : consumer packaging ; office paper ; speciality paper a well a market pulp and energy .
neutral,the company plan to increase the unit specialist staff to several dozen depending on the market situation during 2010 .
neutral,the company reported net sale of 302 mln euro $ 441.6 mln and an operating margin of 16 pct in 2006 .
neutral,the company set of service include digital printing printing preparation offset-printing after-treatment service and send out service .
neutral,the company transportation business is conducted through florida rock & tank line which is a southeastern transportation company concentrating in the hauling by motor carrier of liquid and dry bulk commodity .
neutral,the company said that it ha agreed to a eur160m unsecured credit line from lender .
neutral,the company said that previously eb delivered a custom solution for lg electronics and now is making it commercially available for other mobile terminal vendor a well a to wireless operator .
neutral,the company said that the operation will be sold to a newly established company cps gmbh where the present management of the plastic business is a co-owner .
neutral,the composite body is coated with a hard coating layer produced by thermal spraying and the coating is ground .
neutral,the connectivity unit ha more than 100 e-invoice customer and the number of annual transaction stand at nearly one million .
neutral,the contract includes an option to deliver an additional 75 ascs in the next phase of the project .
neutral,the contract is worth some eur 1 million .
neutral,the credit cover approximately 70 of the ship price .
neutral,the customer is cooperative retailer osuuskauppa suur-savo .
neutral,the customer is local company etera mutual pension insurance co and the principal tenant of the unit will be medium company alma medium corp hel : aln1v .
neutral,the customer is then forwarded to the site and unknown to him logged in with the first number .
neutral,the deal includes all rental equipment and related merchandise the rental contract of the depot and two employee the company said .
neutral,the decision reflects the underutilisation of the line which produce nonwovens used in medical and wipe application a well a for the automotive industry .
neutral,the device also contains finnair own application for compiling customer feed-back and idea for product development .
neutral,the device would be launched in the chinese market in late 2006 the company said .
neutral,the diameter protocol is developed according to the standard ietf rfc 3588 and ietf rfc 3539 .
neutral,the divested company is part of tietoenator business area government manufacturing & retail .
neutral,the dividend will come on top of the 0.45 eur on a share and 0.43 on k share it ha already paid on last year account .
neutral,the division also includes joint sale marketing and controlling function for these unit .
neutral,the ebrd is using it own fund to provide a 21.6 million a loan while the b portion of 10 million euro ha been syndicated to two finnish commercial bank nordea bank finland plc and pohjola bank plc . .
neutral,the ebrd is using it own fund to provide a 21.6 million a loan while the b portion of 10 million euro ha been syndicated to two finnish commercial bank nordea bank finland plc 7.7 million euro and pohjola bank plc 2.3 million euro .
neutral,the ebrd is using it own fund to provide a 21.6 mln a loan while the b portion of 10 mln euro ha been syndicated to two finnish commercial bank nordea bank finland plc 7.7 mln euro and pohjola bank plc 2.3 mln euro .
neutral,the economic development and trade ministry and industry and energy ministry along with the kostroma regional administration and the russian lumberman and timber exporter union ha been carrying out work to acquire investment for the construction of a pulp and paper mill in neya since 2003 .
neutral,the electricity requirement of network will grow with the new mobile generation .
negative,the employment contract of 14 of the employee will end in march 2009 a a result of the company previous employer-employee talk .
neutral,the energy sector accounted for approximately 33 and the steel industry for about 57 of the transportation volume .
neutral,the enterprise value of maritim food a ha been determined a approximately eur15m .
neutral,the estimated annual value of the frame agreement is about eur 50mn .
neutral,the estimated value of the deal is usd 9.2 million .
neutral,the expanded company will continue to be called newpage .
neutral,the expansion is to be finalized in the autumn of 2009 .
neutral,the expansion will be delivered in the fourth quarter of 2006 .
neutral,the facility consists of a seven year bullet term loan of 200 mln euro $ 292.4 mln and a 150 mln euro $ 219.3 mln five year revolving credit facility .
neutral,"the facility will have a lettable area of some 19,000 sq m. the plot for the plant located in the ratasmaki business park will be purchased from the city of forssa ."
neutral,the figure doe not include food export from finland .
neutral,the figure includes the change in the fair value of the property portfolio eur 26.2 million .
neutral,the filter tip cover the volume range from 0.1-1200 -ðl including new size for 10 20 100-120 200 300 1000 and 1200 -ðl volume capacity .
neutral,the final outcome of the right offering is to be reported around 23 october 2009 .
neutral,the firm build component for mobile phone and other communication product .
neutral,the goal is significant expansion in finland and in the northern baltic region .
neutral,"the group posted net sale of 35.3 mln euro $ 46.5 mln and an operating profit of 760,000 euro $ 1.0 mln in 2005 ."
neutral,the group net sale in 2007 were eur683 .6 m .
neutral,the group turnover in 2006 wa eur 39.2 million and operating profit wa eur 3.9 million .
neutral,the liquid handling segment offer laboratory equipment and accessory including mechanical and electronic pipette and disposable tip used in the research institution university and hospital a well a in the pharmaceutical food and other industry under the biohit brand .
neutral,the manufacture of cpps will be undertaken at the existing export oriented unit eou at wartsila factory at khopoli near mumbai .
neutral,the manufacturing will begin in pietarsaari in the beginning of the year 2009 and the delivery will take place in october 2009 .
neutral,the market expect heineken to sell hartwall a a whole or in part .
neutral,the merger between the two telecom operator wa expected to result in the world fourth largest telecom operator .
neutral,the most significant capital expenditure item were in the global enterprise resource planning erp project product development and production machine .
neutral,the move will be carried out by transferring hkscan production-related property plant equipment a well a it holding in subsidiary and associate company in the country to hkscan finland .
neutral,the net sale of healthcare trade business in 2009 were eur 145.1 million eur 155.2 million and operating profit eur 8.9 million eur 7.9 million .
neutral,the net sale of the power plant business were eur 710.3 million in 2005 .
neutral,the new share entitle their holder to dividend for fiscal 2006 .
neutral,the newspaper best sale asset is high quality journalism and journalistic content .
neutral,the ongoing project where tekla structure is being used is the vashi exhibition centre being developed by insteel engineer pvt ltd-iivrcl infrastructure & project ltd & cidco .
neutral,the option might include a partial or total divestment of their shareholding in ovako .
neutral,the orange-handled scissors from fiskars are part of the permanent design collection of the museum of modern art in new york a well a the philadelphia museum of art .
neutral,the order also includes extensive maintenance work of a shoe press delivered by vaahto in 2001 .
neutral,the order value at eur 6.9 mn and it consists of design service and hardware and software licence .
neutral,the order are for 26 machine-room-less kone monospace elevator which would be installed during 2006 .
neutral,the percentage of share and voting right have been calculated in proportion to the total number of share registered with the trade register and the total number of voting right related to them .
neutral,the per-share subscription price of the share subscribed with the option right wa eur 1.35 .
neutral,"the polish business employ about 1,000 people and it had net sale of about eur 70mn in 2007 ."
positive,the production capacity can be tripled without any major additional investment the company said .
neutral,the program which wa started in the summer of 2007 wa originally estimated to last approximately two year .
neutral,the reorganisation will be carried out by transferring hkscan corporation production-related property plant and equipment in finland a well a it holding in subsidiary and associate to hkscan finland oy a holding company wholly owned by hkscan corporation .
neutral,the report contains category level company and brand share a well a distribution share information for 2007 and 2008 .
neutral,the result before tax wa a loss of 25.0 million euro .
neutral,the result will enable the preparation of a conceptual plant design and capital estimate .
neutral,the second company acquired is sweden reftele maskinservice ab whose business is mainly field service and spare part manufacturing with 10 employee and 1.2 mln eur sale a year .
neutral,the selling consortium includes fund managed by oko bank venture capital unit bio fund management and finnish industry investment a government-owned investment group .
neutral,the solution is demonstrated on a tablet developed by aava mobile a a multi-window system which enables the use of several application simultaneously for example the viewing of message and calendar side by side .
neutral,"the stockmann department store will have a total floor space of over 8,000 square metre and stockmann investment in the project will have a price tag of about eur 12 million ."
neutral,the study are expected to start in 2008 .
neutral,the swedish buyout firm ha sold it remaining 22.4 percent stake almost eighteen month after taking the company public in finland .
neutral,the swedish maritime administration ha closed the furusund channel which viking line normally charter en route to stockholm .
neutral,the term of the transaction remained undisclosed .
positive,the through service of fesco is a telling example of strengthening the relationship between logistics company and operator at the international level .
negative,the total headcount reduction will be 50 person the company said .
neutral,the total investment of the project will be approximately eur 36m .
neutral,the total value of the agreement is usd4 .0 m the company said .
neutral,the total value of the deal is usd 29mn .
neutral,the total value of the project is about eur53m including the plot that will be transferred to atrium .
neutral,the total value of these two contract is over eur 21 million .
neutral,the transaction value is cad 15 million approximately eur 10 million .
neutral,the unit client are mainly in the field of specialist convenience good a well a in the textile shoe and furniture business .
neutral,the value of the contract is about eur 27mn .
neutral,the value of the contract is about eur1 .0 m. poyry headquartered in vantaa finland provides consulting and engineering service to the energy forestry and infrastructure & environment sector .
neutral,the value of the contract is in total usd12m .
neutral,the value of the contract is about eur 3.3 mn .
neutral,the value of the deal ha not been disclosed .
neutral,the value of the deal is estimated at between sek25m and sek50m .
neutral,the value of the deal wa not disclosed .
neutral,the value of the three-year contract is estimated at eur40m .
neutral,the value of this kind of order amount usually between euro 2 and 3 million .
neutral,the web-marela application handle invitation to quote quote comparison agreement purchase invoice inspection inventory management and delivery .
negative,the workforce will be reduced also in the amsterdam office in the netherlands .
neutral,there have not been previous share subscription with 2004 stock option .
neutral,these new unit will be built at cargotec state of the art manufacturing facility in san antonio texas usa which started operation in 2009 .
neutral,this could be any of u at any time she said .
neutral,"this order when delivered will bring the total output of electricity in italy generated by wartsila equipment to more than 1,300 mw ."
neutral,this rating from a.m. best is the highest among the ci country central and eastern europe .
neutral,this wood lacquered clock come with a stripy hand-crocheted cover .
neutral,tikkurila acquired a majority stake in kolorit paint in the autumn of 2004 .
neutral,to see a slide show of all the newest product release from fiskars .
neutral,total value of the contract is about eur 10mn .
neutral,trading under the name velta uk a former uponor brand the company ha been uponor long-term partner in supplying velta-branded system particularly for the commercial and industrial building sector in the uk and internationally .
neutral,tulikivi manufacture heat-retaining soapstone and ceramic fireplace a well a natural stone product and utility ceramic .
neutral,under finnish law parliament grant licence to build nuclear power plant .
neutral,under the agreement larox will transfer 10 employee within engineering and documentation related to delivery project and product maintenance in finland to etteplan a of january 1 2007 .
neutral,under the agreement benefon forthcoming range of twig integrated gps navigation and mobile phone device will use the jointly developed web-based tracking and location technology in both consumer and commercial application .
neutral,under the term of the agreement bunge will acquire raisio keiju makuisa and pyszny duet brand and manufacturing plant in finland and poland .
neutral,under the transaction agreement metsaliitto will purchase 24.7 of metsa-botnia share from upm and 3 from m-real .
neutral,underground parking facility will also be built on the basement floor .
neutral,"unit price for straddle carrier vary between eur700 ,000 and eur900 ,000 the company added ."
neutral,unlisted british biologicals make b - and d - protein and other disease-specific supplement that cover diabetes hepatitis asthma and other cardiovascular ailment .
neutral,upm-kymmene said it ha not indicated any interest in any domestic consolidation .
neutral,vacon aim to establish it presence in the solar energy business in various part of the world towards the end of 2010 said olli teva marketing director renewable energy application .
neutral,vaisala board of director will propose a dividend of 0.85 euro $ 1.24 per share at the company annual general meeting .
neutral,vaisala expertise in lightning data and information system is based on extensive experience and investment in r & d .
neutral,valmet automotive report net sale of eur 85mn and operating profit of eur 8mn .
neutral,we look forward to take part in the future development of the company say tomas billing president of nordstjernan .
neutral,while the company did not indicate the level of investment in the unit it said that ha purchased the equipment of nokia corporation mobile phone r & d laboratory in jyvaeskylae .
neutral,why not subscribe to the magazine ?
neutral,viking line and stx finland said on monday that there were plan to build a 240 million euro ferry that would be launched on the turku-stockholm route in spring 2013 .
neutral,with the government exempting certain stainless steel product from anti-dumping duty finland-based outokumpu today said it will look to enter into supply pact with the indian railway soon .
neutral,with the new arrangement customer responsibility will become mainly regional .
neutral,"with this acquisition the wireless modem unit and it approximately 1,100 employee were transferred to renesas electronics corporation ."
neutral,you will hear the latest insight and update on citycon strategy a well a the latest news from all the business unit .
